bruises?;cap-color;cap-shape;cap-surface;gill-attachment;gill-color;gill-size;gill-spacing;habitat;odor;population;ring-number;ring-type;spore-print-color;stalk-color-above-ring;stalk-color-below-ring;stalk-root;stalk-shape;stalk-surface-above-ring;stalk-surface-below-ring;veil-color;veil-type;class
;g;;;;;;;;n;;;;;;;;;;;;;e
;n;s;f;;;;;;;;;;;;;;;;;;;e
;;;;f;n;;;;;;;;;;;;t;;;;;e
f;;;;;;b;;;;;;;;;;;;s;;;;e
;n;;;;;b;;;;;;;;;;;;;s;;;e
;;;;;;;;;;;;;;;;?;e;;s;;;e
;n;;;;;;;;n;;;;;;;;;;s;;;e
t;y;;;;;;;;l;;;;;;;;;;;;;e
;;;;;n;;;;n;;;;;;;;;s;;;;e
;;;;;n;;;;n;;;;;;;;;;s;;;e
;;k;s;;;;;;;;;;;;;;e;;;;;e
;n;;;;;;;;n;;;;;;;;;s;;;;e
f;;;;;;;;;n;;;;;;;;;s;;;;e
;;;;;;;;;;;;;;;;?;e;s;;;;e
;g;s;f;;;;;;;;;;;;;;;;;;;e
f;w;;;;;;;;n;;;;;;;;;;;;;e
f;;;s;;;b;;;;;;;;;;;;;;;;e
;n;;;;;b;;;n;;;;;;;;;;;;;e
f;;;;;;b;;;;;;;;;;;;;s;;;e
;;;;;n;b;;;;;;;;;;;;s;;;;e
;n;;;;;b;;;;;;;;;;;;s;;;;e
;;;;;n;b;;;;;;;;;;;;;s;;;e
f;;;;;;;;;n;;;;;;;;;;s;;;e
;;;s;;;;;;;;;;;;;?;e;;;;;e
;;;;;;;;;;;;p;;;;?;;;;;p;e
;;k;;;;b;;;n;;;;;;;;;;;;;e
;;;;;;b;;;;;;;;;;?;e;;;;;e
;n;;s;;;b;;;;;;;;;;;;;;;;e
;;x;;;;;;;n;;;;;;;;;;s;;;e
;;x;;;;;;;n;;;;;;;;;s;;;;e
;;x;;;;b;;;n;;;;;;;;;;;;;e
t;y;;;;;;;;a;;;;;;;;;;;;;e
f;;;;;;b;;;n;;;;;;;;;;;;;e
;;x;;f;;;;;n;;;;;;w;;;;;;;e
;;;;f;;;;;;;;;;;;e;t;;s;;;e
;;;f;f;;;;;;;;;;;;;t;s;;;;e
;;;f;f;;b;;;;;;;;;;;;;s;;;e
;;;f;f;u;;;;;;;;;;;;t;;;;;e
;;;;;;b;;;;;o;;n;;;;;;;;p;e
f;;k;;;;;;;;;;;;;;;e;s;;;;e
t;y;;;f;n;;;;;;;;;;;;;;;;;e
;;;;f;;;;;;;;;;;;e;t;f;;;;e
;;;;f;;;;;;;;;;;;e;;f;f;;;e
;;;f;f;;b;;;n;;;;;;;;;;;;;e
t;w;;f;;;;;;l;;;;;;;;;;;;;e
t;;;;f;p;;;;a;;;;;;;;;;;;;e
;;;f;f;p;;;;n;;;;;;;;;;;;;e
;;f;f;f;;;;;;;;;;;;;;;s;;;e
;n;;;f;p;;;;;;;;;;;;t;;;;;e
;;x;;;;b;;;;;;;;;;;e;s;;;;e
;;;f;f;w;;w;;;;;;;;;;;;;;;e
;;;;;n;;;;n;;o;;;;;;;;;;p;e
t;;;;f;n;;;;a;;;;;;;;;;;;;e
;;f;f;f;;;;;;;;;;;w;;;;;;;e
;;;;f;p;;;;n;;;;;;;;;s;;;;e
;;;;f;;;w;;;;;;;;;;;f;f;;;e
t;;;f;f;;b;;;;;;;;;;;;;;;;e
;;x;;f;;;;;n;;;;;;;b;;;;;;e
t;y;;;f;w;;;;;;;;;;;;;;;;;e
;n;k;;;;;;;;;;;;;;;e;;s;;;e
;;f;f;f;n;;;;;;;;;;;;;;;;;e
t;;;;f;w;;;;a;;;;;;;;;;;;;e
;;;;;;;;;;v;;p;w;;;;;;;;p;e
;n;;;f;;;;;n;;;;;;w;;;;;;;e
;;;;f;k;;;;;;;;;;;c;e;;;;;e
;;;f;f;;;;;n;;;;;;;;;s;;;;e
;;;;f;n;;;;n;;;;;;w;;;;;;;e
;;;;;n;b;;;;;;;;;;;;;;w;p;e
;;;;f;p;b;w;;;;;;;;;;;;;;;e
;;;f;f;;;;;;;;;;;;;t;;s;;;e
;;;;f;k;b;;;;;;;;;;;;s;;;;e
;;;f;f;w;;;;;;;;;;;;;s;;;;e
;;;;f;;;;;;;;;;;;e;;f;s;;;e
;;;;f;;;w;;;;;;;;;;t;s;;;;e
;;x;;f;w;;w;;;;;;;;;;;;;;;e
;;x;s;;;b;;;;;;;;;;;e;;;;;e
;;x;;;;b;;;;;;;;;;;e;;s;;;e
;;;;f;h;;;;n;;;;;;;;;s;;;;e
;;f;f;f;;;;;;;;;;;;;t;;;;;e
;;;;f;;b;w;;;;;;;;;;;;s;;;e
;;;;f;p;;;;n;;;;;;;;;;s;;;e
;;;;;;b;;;n;;o;;;;;;;;;;p;e
;;;f;f;;;;;;;;;;;w;;t;;;;;e
f;;;;f;h;;;;;;;;;;w;;;;;;;e
;;;f;f;;;;;n;;;;;;w;;;;;;;e
;;x;;;;;;;n;;;p;;;;;;;;;p;e
;;;;f;n;b;;;;;;;;;w;;;;;;;e
;n;k;;;;;;;;;;;;;;;e;s;;;;e
t;;;;f;;;;;l;;;;;;;;e;;;;;e
;;;;f;n;b;;;;;;;;w;;;;;;;;e
;;x;;f;p;;;;n;;;;;;;;;;;;;e
;n;;;f;;b;;;;;;;;w;;;;;;;;e
;;;;f;;b;w;;;;;;;;;;;s;;;;e
;;;f;f;w;;;;;;;;;;;;;;s;;;e
t;;;f;f;n;;;;;;;;;;;;;;;;;e
f;;k;;;;;;;;;;;;;;;e;;s;;;e
;w;;;f;p;;;;n;;;;;;;;;;;;;e
;;;;;;;;;n;;o;;n;;;;;;;;p;e
;;f;f;f;;;;;;;;;;;;;;s;;;;e
t;;;;f;n;;;;l;;;;;;;;;;;;;e
;;;;;n;b;;;;;o;;;;;;;;;;p;e
;;;;;n;b;c;;;;;;;;;;e;;;;;e
;;;;f;n;;;;n;;;;;w;;;;;;;;e
;n;;;;;b;;;;;o;;;;;;;;;;p;e
;;k;s;;;;c;;n;;;;;;;;;;;;;e
;;;;f;;;;;;;;;;;;e;t;s;;;;e
;;;;f;p;;;;n;;;;;;w;;;;;;;e
;;;f;f;;b;;;;;;;;;;;;s;;;;e
;;;;f;h;;;;n;;;;;;;;;;f;;;e
t;;;;f;w;;;;l;;;;;;;;;;;;;e
;;;;f;;;;;;;;;;;;e;t;;f;;;e
t;;;;f;;;;;a;;;;;;;;e;;;;;e
;;;f;f;;b;;;;;;;;w;;;;;;;;e
;;;;f;;;w;;;;;;;;;;;f;s;;;e
;;;;;n;;c;;n;;;;;;;;e;;;;;e
;;;;f;p;b;;;n;;;;;;;;;;;;;e
t;;;f;f;w;;;;;;;;;;;;;;;;;e
t;y;;;f;p;;;;;;;;;;;;;;;;;e
;;;;f;;;w;;;;;;;;;;t;;s;;;e
t;y;;;f;;;;;;;;;;;;;e;;;;;e
;;;;f;;;;;n;;;;;;;e;;;s;;;e
t;;;;f;p;;;;l;;;;;;;;;;;;;e
;;;;;;;;l;;;o;;n;;;;;;;;p;e
;;;;f;;;;;;;;;;;w;?;e;;;;;e
;n;;;f;;;;;n;;;;;;;b;;;;;;e
;n;;;f;;b;;;;;;;;;w;;;;;;;e
t;;;f;f;p;;;;;;;;;;;;;;;;;e
f;;b;s;;;;;;n;;;;;;;;;;;;;e
;;;;f;p;;;;n;;;;;w;;;;;;;;e
;;;f;f;;b;;;;;;;;;w;;;;;;;e
;;;;f;;;;;n;;;;;;;e;;s;;;;e
;;;f;f;;;;;;;;;;w;;;t;;;;;e
;;;;f;k;b;;;;;;;;;;;;;s;;;e
;;;f;f;;;;;n;;;;;;;;;;s;;;e
t;w;;f;;;;;;a;;;;;;;;;;;;;e
;;;;f;;b;;;n;;;;;;;;t;s;;;;e
;;;;f;u;;;;;;;;;;;;e;s;f;;;e
;n;;f;f;;;;;n;;;;;;;;t;;;;;e
;;x;y;f;;;;;;;;;;;;b;;s;;;;e
;;;;;;;;;n;v;o;p;;;;;;;;;p;e
;;;;;;;;;n;v;o;;;;;;;;s;;p;e
;;x;;;;;;;;;;p;w;;;;;;;w;p;e
t;y;;;f;;;;;;;;;;;;;;s;s;;;e
;;x;y;f;;;;;;;;;;;;b;;;s;;;e
;;f;s;f;n;;w;;;;;;;;;;;;;;;e
;;;;;;;;l;;v;o;p;;;;;;;;;p;e
f;;;;f;;;;;n;;;;;w;w;;;;;;;e
;;;;f;p;;;;n;;;;;;;?;e;;;;;e
;;;;;;;c;;;;;p;w;;;;;;;w;p;e
;n;;;;;;c;;n;;;p;;;;;;;;;p;e
;;f;f;f;;;;;;;;;;w;;b;;;;;;e
;;;;f;;b;;;n;;;;;;;;t;;s;;;e
;;;;;w;;;d;;;;p;;;;;;;;w;p;e
f;;;;;;;;;n;;;p;;;;;e;;;;p;e
;;;;f;g;n;;;;;;;;;;e;e;;;;;e
;;f;;f;h;b;w;;;;;;;;;;;;;;;e
;;;;f;;;;;;;;;;;;b;e;f;s;;;e
t;w;;;f;;;;;l;;;;;;;c;;;;;;e
t;w;;;f;;;;;a;;;;;;;c;;;;;;e
;;x;;;;b;;;;;;p;;;;;e;;;;p;e
;;f;s;f;p;;w;;;;;;;;;;;;;;;e
;;f;;;;;;d;;;;p;;;;;;;;w;p;e
;n;;f;f;n;;;;n;;;;;;;;;;;;;e
;;f;f;f;;;;;n;;;;;;;b;;;;;;e
f;n;;;;;;;;;;;;;;;;e;s;s;;;e
f;;;;;;b;;;;;;p;;;;;e;;;;p;e
;;;;;;;;;n;v;o;;;;;;;s;;;p;e
;n;;;;n;;;;n;;;;;;;;;;;w;p;e
;;x;;;n;;;;n;;;;;;;?;e;;;;;e
;w;;;f;h;;;;n;;;;;;;;;;s;;;e
f;;;f;f;;;w;;n;;;;;;;;;;;;;e
;;;f;f;;;w;;n;;;;;w;;;;;;;;e
;;x;;f;;b;;;;;;;;;w;;e;;;;;e
f;;k;s;;;;;;;;;p;;;;;;;;;p;e
t;;;;f;;;;;a;;;;;;;;;s;s;;;e
;y;;;f;;;;;;;;;;;;;e;s;y;;;e
;;x;;f;;b;;;;;;;;w;;;e;;;;;e
;;;;;;;c;;n;;o;p;;;;;;;;;p;e
;;;;f;n;;;;;;;;;;;;e;s;y;;;e
t;n;;;f;;b;c;;;;;;;;;;;;;;;e
;;f;;f;n;b;w;;;;;;;;;;;;;;;e
f;;x;;;w;;;;;;;;;;;;e;s;;;;e
t;;;s;f;;;;;l;;;;;;;c;;;;;;e
f;;;;f;p;;;;n;;;;;;;;e;;;;;e
;;;;;;;;;;;;p;;;;c;e;;;w;p;e
;;;;f;;b;;;n;;;;;;w;;t;;;;;e
;n;;;;;b;c;;;;;p;;;;;;;;;p;e
;;;;;;b;;;;;o;p;;;;;e;;;;p;e
f;;;;f;p;;;;;;;;;;;;t;s;;;;e
;;x;;;n;;;;n;;;;;;;;;;;w;p;e
;;;;;;b;;;;c;;;;;;;e;;s;;p;e
;;x;;f;;;w;;n;;;;;w;;;;;;;;e
f;;f;;;;;;;;;;;;;;;e;s;s;;;e
t;;;s;f;;;;;a;;;;;;;c;;;;;;e
f;;;;f;h;;;;;;;;;;;;t;s;;;;e
;;k;;;;b;c;;;;;;;;;;e;;s;;;e
;;;s;f;w;;w;;;;;;;;;;;;s;;;e
f;;f;;f;p;;;;;;;;;;w;;;;;;;e
;;x;;f;;n;;;;;;;;;;;e;;f;;;e
;;;f;f;;;;;n;;;;;w;;b;;;;;;e
;;;;;;b;;;;c;;p;;;;;e;;;;p;e
f;;;;;;;;;;c;;p;;;;;e;;;;p;e
;;;;;;;c;;n;;o;;;;;;;s;;;p;e
;w;f;;f;;;w;;;;;;;;;;t;;;;;e
;;;;f;p;;;;n;;;;;;;;;;;w;p;e
;;x;y;f;;;;;;;;;;w;;b;;;;;;e
;;f;f;f;;;w;;;;;;;w;;;;;;;;e
;;;;;;;;l;;v;o;;;;;;e;;;;p;e
;;;;f;;;;g;;;;;w;;;;;;;w;p;e
;;;;f;;;;;;;;;;;;b;e;f;f;;;e
;c;;;f;w;;;;;;;;;w;;;e;;;;;e
;;f;f;f;w;;;;;;;;;;;b;;;;;;e
;;x;y;f;w;;;;;;;;;;;b;;;;;;e
;;;;;;;;;;;;p;;;;;e;;y;w;p;e
f;;;;f;p;;;;;;;;;;;;t;;s;;;e
t;;;;f;;;;;l;;;;;;;;;s;s;;;e
;;f;;f;k;b;w;;;;;;;;;;;;;;;e
;;;;f;;;;;n;;;;;w;w;;;;f;;;e
;;;;f;;b;;;n;;;;;w;;;t;;;;;e
;;;;f;;;;g;;;;e;;;;;;;;w;p;e
f;;;;;;;;;;;;p;w;;;;e;;;;p;e
;;;;f;;n;;;;;;;;;;;e;s;f;;;e
t;y;;s;f;;;;;;;;;;;;c;;;;;;e
;;;f;f;w;;;;;;;;;w;;b;;;;;;e
f;;;;f;h;;;;;;;;;;;;t;;s;;;e
;;;f;f;w;n;;;;;;;;;;b;;;;;;e
;e;;;f;;b;c;;;;;;;;;;;;s;;;e
;;f;f;f;p;;;;;;;;;w;;;;;;;;e
;;;;;;b;;d;;;;p;;;;;;;;w;p;e
;;;s;f;w;;w;;;;;;;;;;;s;;;;e
f;g;f;;f;;;;;;;;;;;w;;;;;;;e
;;;;f;;b;;;;;;e;;;;;;;;w;p;e
;;;;f;;;c;;;y;;;;w;;;;;;w;p;e
;g;;s;f;w;b;;;;;;;;;;;e;;;;;e
;;;;f;;;;;;;o;;n;;;;t;;;w;p;e
;w;;;f;p;b;;;;;;;;;;;e;;s;;;e
;;x;;f;w;;;;;;;;;w;;b;e;;;;;e
;g;;;f;w;b;;;;;;;;;;;e;;s;;;e
f;;f;;f;p;;;;;;;;;;;;;s;s;;;e
;;;;f;;;c;;;;;;;p;p;b;;;s;;;e
f;;;;;;;;l;;;o;;;;;;e;s;;;p;e
;;;;f;;;c;;n;y;;;;;;;;;;w;p;e
f;;f;;;;;;;;;;;;;;;e;;s;w;p;e
;;;;;;b;;;;v;;;w;;;;e;;;w;p;e
f;;;;f;;;w;;n;;;;;;;;;;;w;p;e
;;b;;f;g;b;w;;n;;;;;;;;;;;;;e
f;n;;;;;;;l;;;o;;;;;;e;;;;p;e
t;;x;;f;p;n;w;;;;;;;;;;;;;;;e
f;n;;;;;;;;;;o;;;;;;e;s;;;p;e
;;;;f;;;c;;;y;;;;;;;;s;;w;p;e
;;;f;f;;;;;;;o;;;;;;t;;;w;p;e
t;;;s;f;w;n;w;;;;;;;;;;;;;;;e
;e;;;f;w;b;c;;n;;;;;;;;;;;;;e
;;;;;n;;;;;;;;;;;;e;s;y;w;p;e
;g;;;f;;b;;;;;;;;;;;e;s;s;;;e
f;;f;;;;;;;;;;;;;;;e;s;;w;p;e
;;;;f;;;c;;;y;;;w;;;;;;;w;p;e
f;;;;f;g;;;;;;;;;;;?;e;;k;;;e
;;f;;;;;;d;;;o;;n;;;;;;;w;p;e
;;;s;f;p;b;;;;;;;;;;?;;s;;;;e
;;x;y;f;;b;c;;;;;;;;;;;s;;;;e
t;;x;y;f;;b;c;;;;;;;;;;;;;;;e
;;x;;f;w;n;;;;;;;;;;b;;;s;;;e
;;;;f;;;;;n;;;e;;;w;;;;;w;p;e
f;;x;;;;;;l;;;o;;;;;;e;;;;p;e
f;n;;;;;b;;l;;;;;;;;;e;;;;p;e
f;;;;;;;;l;;;o;p;;;;;e;;;;p;e
;y;b;;f;w;b;c;;;;;;;;;;;;;;;e
;;;;f;u;;c;;n;;;;;w;;;;s;;;;e
t;;;s;f;p;n;w;;;;;;;;;;;;;;;e
f;;;;;;;;l;;;o;;;;;;e;;s;;p;e
;;x;;f;w;n;;;;;;;;;;b;;s;;;;e
;n;;;;;;;;;;;;w;;;;e;s;;w;p;e
;n;;;;;;;;;;;;w;;;;e;;s;w;p;e
f;;;;;;;;;;;;;w;;;;e;s;;w;p;e
;;x;;;;;;;;;;;w;;;;e;s;;w;p;e
;;;;f;;;;;n;;;e;;;;;;;s;w;p;e
;;;;f;;;;;n;;o;;k;;;;;;;w;p;e
;;;;f;;;c;;;y;;;;;w;;;;;w;p;e
;;;s;f;p;b;;;;;;;;;;?;;;s;;;e
t;;x;;f;n;n;w;;;;;;;;;;;;;;;e
;;;;;w;;;d;;;o;;;;;;;s;;w;p;e
;;b;;f;w;b;w;;n;;;;;;;;;;;;;e
f;;f;;;;;;;;;o;;;;;;e;;s;;p;e
f;n;;;;;;;;;;o;;;;;;e;;s;;p;e
;;;;f;;;;;n;;;e;;;;;;s;;w;p;e
;;b;;;;;c;;;;o;p;;;;;e;;;;p;e
;w;x;;f;w;b;;;;;;;;;;;e;;;;;e
f;;f;;;;;;;;;o;;;;;;e;s;;;p;e
;;;;f;;b;;;;;o;;k;;;;;;;w;p;e
;;;f;f;w;;;;;;;p;;;;;;;;w;p;e
;;;;;;;;;;v;;;w;;;;e;;s;w;p;e
f;;;;f;g;;;;;;;;;;;?;e;k;;;;e
;;;s;f;;;;;;;;p;w;;;;;;;w;p;e
f;n;;;f;;n;;;;;;;;;;;e;;s;;;e
f;n;;;;;;;;;;;;;;;;e;;s;w;p;e
f;n;;;;;;;;;;;;;;;;e;s;;w;p;e
f;n;;;f;;n;;;;;;;;;;;e;s;;;;e
;y;f;;f;w;;;;;;;;;;;;;s;y;;;e
t;;;s;f;n;n;w;;;;;;;;;;;;;;;e
f;;f;;f;p;;;;n;;;;;;;;;;f;;;e
;;;f;f;;;;;n;;;p;;;;;;;;w;p;e
;g;;s;f;;b;;;;;;;;;;;e;;s;;;e
f;n;;;f;;;w;;n;;;;;;;;;f;;;;e
;g;;s;f;;b;;;;;;;;;;;e;s;;;;e
;;f;;f;;;w;;n;;;;;;;e;;f;;;;e
;;f;;f;;;w;;;;;;;w;w;;;f;;;;e
;w;;;f;p;b;;;;;;;;;;;e;s;;;;e
;n;;;;;;c;d;;;;p;;;;;;;;w;p;e
;;x;;f;;;;;;;;;w;;;b;;;;w;p;e
t;y;f;;f;;;;;;;;;;;;;;s;y;;;e
f;;;;;;;;;;;;;w;;;;e;;s;w;p;e
;;;;;;;;;;v;;;w;;;;e;s;;w;p;e
;;;;f;u;;c;;n;;;;;;w;;;s;;;;e
;;;;f;;;;;;v;;;w;;;b;;;;w;p;e
f;;f;;f;p;;;;n;;;;;;;e;;;;;;e
t;;f;;f;;;;;l;;;;;;;;;s;y;;;e
;w;f;f;f;p;;w;;;;;;;;;;;;;;;e
;;;;f;n;;;;;;;;;;;c;e;s;s;;;e
;;;;;;b;;;;;;;w;;;;e;;s;w;p;e
t;;f;;f;;;;;a;;;;;;;;;s;y;;;e
;;;;;;b;;;;;;;w;;;;e;s;;w;p;e
;;;;f;;;;;;;o;;k;;;;t;;;w;p;e
;;;f;f;;b;;;;;;p;;;;;;;;w;p;e
;;;;f;;;c;p;;;;p;;;;;;;;w;p;e
f;;;;;w;;;;;;;;;;;;e;s;;w;p;e
f;;;;;y;b;;l;;;;;;;;;e;;;;p;e
;;;;f;;;c;;;y;;p;;;;;;;;w;p;e
f;;;;;y;;;;;;o;p;;;;;e;;;;p;e
f;;k;;f;;b;;;;;;;;;w;;e;;;;;e
;;f;;f;;;w;;;;;;;w;w;;;;f;;;e
;;f;;f;;;w;;n;;;;;;;e;;;f;;;e
;;;s;f;;;;;;;;;w;;;;e;;;w;p;e
;;;;;;b;;;;;;p;w;;;;e;;;w;p;e
f;;;;f;u;n;;;;;;;;;;?;e;;;;;e
;g;;;f;w;b;;;;;;;;;;;e;s;;;;e
;;;;f;w;;c;;;y;;;;;;;;;;w;p;e
;;;;f;;;c;;;;;;;p;w;b;;;s;;;e
f;n;;;f;;;w;;n;;;;;;;;;;f;;;e
;;x;;;;;;;;;;;w;;;;e;;s;w;p;e
;;;;f;;;w;;;;o;e;;;;;;;;w;p;e
;;;;f;;;;d;;;o;p;;;;;t;;;w;p;e
;;;f;f;;;;;n;;o;;;;;b;;;;w;p;e
f;;f;;;;b;;l;;;o;;;;;;e;;;;p;e
f;g;;;f;;b;w;;;;;;;;;;e;;k;;;e
;;;;f;;;;;;v;;;w;;w;;e;;;w;p;e
t;y;;s;f;k;b;c;;;;;;;;;;;;;;;e
t;;b;;f;g;b;c;;a;;;;;;;;;;;;;e
;n;;;f;w;;;;;;;;;;w;;t;s;s;;;e
;;f;;f;;;;d;;;o;;k;;;;;;;w;p;e
;g;;;f;w;b;;;;;;;;w;w;;e;;;;;e
f;;;;f;w;n;;;;;;;;;;b;e;s;;;;e
;;;;f;;b;;;;;;;w;w;;;e;;;w;p;e
;;;y;f;p;b;c;;;;;;;w;;;;s;;;;e
;;;;f;;;c;d;n;;;p;;;;;;;;w;p;e
t;;;;f;n;;;;;;;;;;w;b;;s;s;;;e
;y;;;f;;;;;;;o;p;;;;c;e;;;;p;e
;;;;f;w;;;d;;;o;;;;w;;;;;w;p;e
f;;;f;f;;b;w;;;;;;;;;;e;k;;;;e
;;;;f;;;;;;;o;e;;w;;;;f;;w;p;e
;;;;f;;;;;;;o;e;n;;;;;s;;w;p;e
f;;;;;w;;;;;;;p;;;;;e;;s;w;p;e
;;;;f;u;;;;;;;;;w;;b;t;s;s;;;e
;;;;f;;;;;;;o;e;k;;;;;s;;w;p;e
t;y;;s;f;g;b;c;;;;;;;;;;;;;;;e
;;;;f;;n;c;;n;;;;;w;w;;e;;;;;e
t;w;;;f;k;b;c;;l;;;;;;;;;;;;;e
t;w;;;f;g;b;c;;a;;;;;;;;;;;;;e
;;;y;f;;;c;d;;;;p;;;;;;;;w;p;e
;;;;f;;n;;;;;;;;w;;;e;;f;w;p;e
;;;;f;;;;;;;o;;;w;;;e;;f;w;p;e
;;;;f;p;b;;;;;;p;;;;;e;;;w;p;e
f;;;;;w;;;;;;;p;;;;;e;k;;w;p;e
f;;;f;f;;b;w;;;;;;;;;;e;;k;;;e
f;g;;;f;;b;w;;;;;;;;;;e;k;;;;e
t;y;b;;f;g;b;c;;;;;;;;;;;;;;;e
f;;;;f;;b;;;;;o;;;;w;;;;;w;p;e
;;;;f;u;;;;;;;;;;w;b;t;s;s;;;e
;n;;;f;w;;;;;;;;;w;;;t;s;s;;;e
;;k;;f;;;;;;;;e;;;;;e;;s;w;p;e
;;;;f;;;;;n;;o;;;w;;;;;f;w;p;e
f;;;;f;;;w;;;;;;w;;;;e;;;w;p;e
t;;;s;f;g;b;c;;a;;;;;;;;;;;;;e
;;;;f;;b;;;;;;;w;;w;;e;;;w;p;e
f;;;;f;w;;;;;;;;;;;b;e;s;s;;;e
f;;;;a;;b;c;l;;;;;;;;;e;;;;p;e
f;;;;;;b;c;l;;;o;;;;;;e;;;;p;e
f;;;;f;w;;w;;;;;;;;;;e;;;w;p;e
t;;;s;f;k;b;c;;a;;;;;;;;;;;;;e
;g;;;f;;b;;;;;;p;;;;;e;;;w;p;e
;y;;;f;;;;;;;o;p;;w;;;;;;w;p;e
;;;;f;;;;;;;;e;w;;;;e;s;;w;p;e
t;;;;f;n;;;;;;;;;w;;b;;s;s;;;e
f;;;;f;w;;w;;;;;;;;;;e;s;s;;;e
;y;;;f;;n;w;d;;;o;;;;;;;;;;p;e
;;;;f;;;;;n;v;o;;;;w;;;;;w;p;e
;;;;f;;;;;n;v;o;;;;;b;;;;w;p;e
;c;;;f;w;;;;n;;;;;;;b;e;;s;;;e
;c;;;f;w;;;;n;;;;;;;b;e;s;;;;e
;;;;f;;;;;;;o;e;n;;;;;;s;w;p;e
f;;;;f;p;;;;;;;;;;;?;e;k;k;;;e
;;;;f;;;;;;;o;e;k;w;;;;;;w;p;e
t;;b;;f;g;b;c;;l;;;;;;;;;;;;;e
;;k;;f;;;;;;;;e;;;;;e;s;;w;p;e
;;;;f;;;;;;c;;e;w;;;;e;;;w;p;e
;;f;;;;;;d;;;o;;;;;;e;s;;w;p;e
;;;;f;;;;;;;o;e;;w;;;;;f;w;p;e
;;;;f;;;;;;;;e;w;;;;e;;s;w;p;e
f;;;;f;;;;;;;;;w;;;;e;;k;w;p;e
;;x;;f;w;;;;;;;;;;;b;e;s;s;;;e
f;;x;y;f;;n;;;;;;;;;;;e;s;;;;e
t;y;b;;f;k;b;c;;;;;;;;;;;;;;;e
;;f;;f;p;;c;;;;;;;p;w;;;;s;;;e
f;;f;;f;;;;;;;;;;w;w;;e;s;;;;e
;y;b;;f;;;;;;;;;;;;c;e;;;w;p;e
f;;;;f;;b;;g;;;;;;;w;;;;;w;p;e
